date,mobility_trend
2021-08-15,0.05521
2021-08-17,0.08232
2021-08-18,0.01649
2021-08-21,0.00593
2021-08-22,0.01655
2021-08-23,-0.01872
2021-08-24,0.10136
2021-08-25,0.0519
2021-08-26,0.11284
2021-08-27,0.15225
2021-08-28,0.08593
2021-08-29,0.09861
2021-08-30,0.10077
2021-08-31,0.06891
2021-09-01,0.13926
2021-09-02,0.07857
2021-09-03,0.2443
2021-09-04,0.22267
2021-09-05,0.06841
2021-09-06,0.07141
2021-09-07,0.00594
2021-09-08,0.05272
2021-09-09,0.09109
2021-09-10,0.0977
2021-09-11,0.01099
2021-09-14,0.0745
2021-09-15,0.08791
2021-09-16,0.04006
2021-09-17,0.16085
2021-09-18,0.0179
2021-09-20,0.07243
2021-09-21,0.05062
2021-09-22,0.21004
2021-09-23,0.11736
2021-09-24,0.13992
2021-09-27,0.03167
2021-09-28,0.13754
2021-10-02,-0.01233
2021-10-05,0.05343
2021-10-06,0.10019
2021-10-09,0.10357
2021-11-17,0.02304
2021-11-23,-0.19265
2021-11-25,0.07243
2021-11-26,0.18896
2021-11-30,0.08061
2021-12-01,-0.31221
2021-12-03,0.10609
2021-12-04,-0.02453
2021-12-06,0.1407
2021-12-10,0.00314
2021-12-11,0.13379
2021-12-12,0.21662
2021-12-13,0.14819
2021-12-14,0.15612
2021-12-15,0.13426
2021-12-16,0.12804
2021-12-20,0.07151
2021-12-21,0.14832
